,auc,sigma,gamma,optimal,optimistic@0,optimistic@0.1,optimistic@0.2,optimistic@0.3,optimistic@0.4,optimistic@0.5,optimistic@0.6,optimistic@0.7,optimistic@0.8,optimistic@0.9,optimistic@1
0,0.9998385431812429,0.01,0.5,5.717955578491144e-05,0.0011449677015978896,0.0001932131893966516,0.00016231869135279524,0.00014158256319103576,0.0001318425816717639,0.0001225158505849804,0.00012225164115442928,0.00011743182183015202,0.00012148876114400268,0.00012885119034966564,0.0004177353176131103
1,0.9868516803331713,0.1,0.5,0.00033292177654785366,0.0011453688364276478,0.0005885802135051331,0.0005298494668985732,0.00048827094937497584,0.0004630450943958285,0.0004498249866480749,0.00044282711885618403,0.0004400539165206579,0.0004434934818676481,0.00046383154147442785,0.0006406407766453521
2,0.9569559557790763,0.2,0.5,0.0005681246431638128,0.0011453688364276478,0.0008079590934571344,0.0007442342618718267,0.0007128563793782688,0.0006873360392117846,0.0006709175052273135,0.0006641700668008611,0.0006656315164875513,0.0006750106264102041,0.0006990702942145412,0.0007782569488649019
3,0.9189362512982935,0.3,0.5,0.0007408567908448617,0.0011453688364276478,0.0009472255525211066,0.0009009434467303774,0.000876889658086387,0.0008632510450201619,0.0008502439688455276,0.0008422165250049335,0.0008531905337703725,0.000865217211754734,0.0008830005482026663,0.0009219899135339698
4,0.8770990557317708,0.4,0.5,0.0008660184049237532,0.0011453688364276478,0.0010391079003381598,0.0010275226763623965,0.0010232534791211009,0.0010165266941857649,0.001007208912202857,0.0010052786628654052,0.0010094802595359985,0.001013588416495546,0.0010309226342315422,0.0010487260561109464
5,0.8333363423936785,0.5,0.5,0.0009655908056274078,0.0011453688364276478,0.0011124773727869933,0.0011294975385966644,0.0011527960348782262,0.001160684326837152,0.0011500784036041784,0.001140134647003133,0.0011342361611054058,0.00114185892544843,0.0011530780637951197,0.001160629752687827
6,0.788207003453236,0.6,0.5,0.0010301672149894722,0.0011453688364276478,0.001135409274440852,0.00117580894705016,0.0012380773463356927,0.0012655365232636193,0.0012540518833613677,0.0012309603889920963,0.0012226172696628813,0.00121956337007456,0.0012248157255709833,0.0012278582993547006
7,0.7411829085658302,0.7,0.5,0.0010901580819310825,0.0011453688364276478,0.0011471118095591466,0.0012040041477143363,0.0013148026701260652,0.0013791398105973114,0.0013700731631418486,0.0013296122789916058,0.0012926831245559998,0.0012850062482099754,0.0012810315253667303,0.0012820643708989813
8,0.6903745840901906,0.8,0.5,0.0011261995998174802,0.0011453688364276478,0.0011454677706214333,0.0011825868630020806,0.0013354049446120625,0.0014943634048304693,0.0014711822876141715,0.0013739316635354103,0.0013194191720861395,0.0013066899256769162,0.0013042571803252637,0.0013038896983375555
9,0.6302339395753846,0.9,0.5,0.0011438073740861494,0.0011453688364276478,0.001145370398705041,0.001151348042782432,0.001252303513087973,0.001535452141088933,0.0015817833665482046,0.0013722492170428146,0.0013176804303414301,0.0013127200823490844,0.001312412089223618,0.001312412089223618
10,0.5400203075835843,0.99,0.5,0.0011453688364276478,0.0011453688364276478,0.0011453688364276478,0.0011453688364276478,0.0011453688364276478,0.0011570826777912893,0.0017119807809070796,0.001333406417227388,0.001333406417227388,0.001333406417227388,0.001333406417227388,0.001333406417227388
