,auc,sigma,gamma,optimal,optimistic@0,optimistic@0.1,optimistic@0.2,optimistic@0.3,optimistic@0.4,optimistic@0.5,optimistic@0.6,optimistic@0.7,optimistic@0.8,optimistic@0.9,optimistic@1
0,0.9998385431812429,0.01,0.5,0.0005542074613373058,0.004001567902993024,0.0006082718612084591,0.0005911710491671729,0.0007226584380585433,0.000783722825422849,0.0008770777392844387,0.0009356782618098992,0.0010406498140051914,0.0011840463712063903,0.0014175774676235368,0.0048890829196566584
1,0.9868516803331713,0.1,0.5,0.0018936267933137893,0.004001900149458322,0.0019167783036839797,0.001990346442404315,0.002180429329309343,0.0023719194110015484,0.0026185066744753758,0.002934262927621642,0.0032924507100685007,0.0036793542908866213,0.00422797661010848,0.006025470758038571
2,0.9569559557790763,0.2,0.5,0.0026873925434432785,0.004001900149458322,0.0027509549307878516,0.0028392556825395797,0.0031024903672900593,0.0034288413094756714,0.0037292618901941577,0.004077234823675316,0.004497431060763641,0.004937593068530424,0.005402576052007456,0.006101694295966564
3,0.9189362512982935,0.3,0.5,0.003222184194086655,0.004001900149458322,0.00325346135803571,0.003352764370664029,0.0037284628067322917,0.004225233308568777,0.004558584598290548,0.00490656694632394,0.005275393381770406,0.005658654157460129,0.005986717876026535,0.006171994679100167
4,0.8770990557317708,0.4,0.5,0.0035064582640366446,0.004001900149458322,0.0035929163353000874,0.003915673638713453,0.00429206867913086,0.004677080550693228,0.005176074833214708,0.0055561252791521505,0.005814863727356148,0.006062861221306507,0.006226680225265224,0.006199924566889137
5,0.8333363423936785,0.5,0.5,0.003839859053604083,0.004001900149458322,0.0038023673007894516,0.004183081424542254,0.004625039599232403,0.0051660180020487645,0.005674727840785964,0.00601251948216357,0.00626563337877772,0.006396102182517872,0.006379483387462475,0.006250122102944382
6,0.788207003453236,0.6,0.5,0.004003442897968808,0.004001900149458322,0.003944031510835353,0.0042546432096602325,0.0049241901890087775,0.005689234198025213,0.006215599042720581,0.006500110914300387,0.0065952695488247295,0.006519284072765385,0.006386054925434705,0.006281123023669937
7,0.7411829085658302,0.7,0.5,0.004159099950804636,0.004001900149458322,0.004000518276744695,0.004174208930446837,0.005032586126179015,0.005968213459971095,0.006578192443216807,0.006862471829790378,0.006806816573373314,0.006595410751925954,0.0063827815073168835,0.006337742593892111
8,0.6903745840901906,0.8,0.5,0.004227528377578449,0.004001900149458322,0.004002735873974054,0.004198521597952147,0.005026808332623848,0.00631615910350773,0.007034052298400229,0.007128056370913228,0.006809431773073324,0.006423261138852395,0.006258926959308516,0.006249214566333199
9,0.6302339395753846,0.9,0.5,0.00434023669805161,0.004001900149458322,0.004003252294792082,0.004025930235261069,0.0044393497025146545,0.006173337176158152,0.007521903575022496,0.007235852937399532,0.006319378871365865,0.006019486145661064,0.006001034942583138,0.005999927864033066
10,0.5400203075835843,0.99,0.5,0.005000097849893319,0.004001900149458322,0.004001900149458322,0.004001900149458322,0.004001900149458322,0.004043499009399033,0.008120342190449829,0.005926681110310222,0.005896283330141263,0.005896283330141263,0.005896283330141263,0.005896283330141263
