,auc,sigma,gamma,optimal,optimistic@0,optimistic@0.1,optimistic@0.2,optimistic@0.3,optimistic@0.4,optimistic@0.5,optimistic@0.6,optimistic@0.7,optimistic@0.8,optimistic@0.9,optimistic@1
0,0.9998385431812429,0.01,0.5,8.803074842549037e-05,0.0013291323460387662,0.00021313186872513485,0.00018109181502284596,0.00015749249757498256,0.00014143265446576837,0.0001274461736565564,0.00012834091250760494,0.00012287769482467576,0.00012307833222515281,0.00013243199049737866,0.0004848125115174523
1,0.9868516803331713,0.1,0.5,0.0002635661247191519,0.001329363759050148,0.0006147948532917248,0.0005247293407375609,0.0004666615365712432,0.00042798770422932075,0.00041010048424675125,0.0003958290293084711,0.0003899091117509002,0.00040135181715904387,0.00043707782084308037,0.000832857444617162
2,0.9569559557790763,0.2,0.5,0.00038476267693087786,0.001329363759050148,0.0008471519847613528,0.0007462783079955681,0.0006706076940796352,0.0006230277749485793,0.0005827159183252616,0.0005641137792135091,0.0005552464019125562,0.0005668272130862281,0.0006013802144698491,0.00085546135198863
3,0.9189362512982935,0.3,0.5,0.0004652708319498636,0.001329363759050148,0.0009971100488118765,0.0008845283578670027,0.0008082689616786194,0.0007546571413165665,0.0007098800695599172,0.0006836061759195244,0.0006807068632283592,0.0006952791168439844,0.0007343960489319318,0.0008945664714656433
4,0.8770990557317708,0.4,0.5,0.000513134845808253,0.001329363759050148,0.0011227551352929837,0.0010024886512689346,0.0009125664556906005,0.0008346690329264815,0.0007867196632417459,0.0007638911694836389,0.0007602799419329677,0.0007843640973506361,0.0008135971521650918,0.0009117804359927148
5,0.8333363423936785,0.5,0.5,0.0005570907031569809,0.001329363759050148,0.0012044171665586596,0.0010935579230705776,0.0009984494609439824,0.0009174174259382147,0.00086380525919038,0.0008298356923851716,0.0008263190008498271,0.0008512877153839623,0.0008903269619742679,0.0009456643193158086
6,0.788207003453236,0.6,0.5,0.0006051668130900729,0.001329363759050148,0.0012618573950929992,0.0011625536243028527,0.001075877996395358,0.0009931714745667515,0.0009508272592131185,0.0009134298167326701,0.0009091247891795978,0.0009308721203136363,0.0009600644975714049,0.000984770629730954
7,0.7411829085658302,0.7,0.5,0.0006350064260715879,0.001329363759050148,0.0013092659483299816,0.0012519683792770093,0.001167436012981696,0.0010901239363184617,0.0010254338043953193,0.0009850854853778927,0.0009736116066171913,0.0009798433108929615,0.0009988555562555578,0.001008083468420684
8,0.6903745840901906,0.8,0.5,0.0006655190946246359,0.001329363759050148,0.0013245485471255424,0.0012937528714139779,0.0012226945314594139,0.0011380918271842763,0.0010685927121694115,0.0010303240159419723,0.0010156838314239005,0.0010138235829195955,0.0010252645011429365,0.001026829241938358
9,0.6302339395753846,0.9,0.5,0.0006749738581445705,0.001329363759050148,0.0013293578901850134,0.0013270955450159778,0.0013058466249227564,0.0012283049035351364,0.0011364851242837684,0.001079178119085445,0.0010597673322822866,0.001064002929409668,0.0010650237790698395,0.0010650456051787707
10,0.5400203075835843,0.99,0.5,0.0007003269640736841,0.001329363759050148,0.001329363759050148,0.001329363759050148,0.001329363759050148,0.0013290434688739774,0.0012292676036700888,0.0010930188319300553,0.0010915850257678197,0.0010915850257678197,0.0010915850257678197,0.0010915850257678197
